151,103,168,166
148,104,165,165
140,107,173,160
130,106,171,157
124,104,169,156
118,102,180,161
128,98,164,157
129,97,165,156
127,88,175,164
130,89,174,157
144,82,171,160
158,76,169,153
166,73,162,153
189,71,158,144
219,71,157,136
253,68,150,131
279,63,146,135
313,67,137,134
331,69,140,127
354,81,138,125
367,83,143,125
363,85,145,123
372,89,136,123
354,97,146,124
360,103,129,116
328,98,133,123
303,97,127,122
294,94,118,120
234,92,126,114
198,89,119,112
133,81,124,115
101,70,114,117
35,55,127,117
1,30,115,137
6,30,95,129
2,27,94,132
2,27,94,132
2,27,94,132
2,27,94,132
2,27,94,132
0,10,114,133
-1,15,106,130
15,61,117,118
14,51,132,138
84,96,119,120
124,109,109,125
179,123,108,113
179,128,138,106
223,133,126,102
273,134,116,107
311,129,113,110
328,124,107,109
326,123,110,111
326,120,117,109
309,126,118,112
280,138,115,109
238,145,119,107
163,149,136,125
117,150,139,125
96,151,143,127
11,123,139,146
-8,93,102,135
-8,93,102,135
-8,93,102,135
-8,93,102,135
-8,93,102,135
-8,93,102,135
-8,93,102,135
113,174,114,114
113,174,114,114
113,174,114,114
113,174,114,114
9,121,88,111
53,154,113,117
139,168,129,115
207,165,138,111
214,159,155,114
230,156,144,108
261,143,130,107
274,137,130,108
286,132,124,107
280,136,122,100
231,148,138,109
216,148,147,118
161,151,140,122
89,161,156,113
58,159,144,114
15,156,121,111
10,169,140,93
10,169,140,93
10,169,140,93
10,169,140,93
10,169,140,93
10,169,140,93
10,169,140,93
10,169,140,93
79,182,145,75
79,182,145,75
79,182,145,75
79,182,145,75
2,156,141,93
35,160,131,107
107,167,127,124
167,186,147,114
236,172,136,121
245,167,136,121
278,146,135,123
300,118,131,116
301,117,134,119
276,99,144,132
246,95,147,138
209,101,181,130
187,97,143,136
168,100,140,121
148,95,128,121
147,97,117,107
156,95,105,98
182,107,92,88
202,112,82,89
220,122,77,83
225,124,80,79
230,121,84,81
228,124,89,80
251,118,79,84
256,119,79,86
258,121,90,90
259,122,102,100
260,116,102,105
256,107,113,120
246,99,124,124
238,89,134,128
223,43,138,145
212,27,144,152
212,13,147,154
205,13,148,167
209,16,147,161
207,42,142,152
219,73,137,144
234,83,129,134
237,103,128,118
234,100,125,117
262,104,105,114
271,104,92,96
276,89,80,84
273,76,77,78
273,63,74,76
270,53,77,75
264,46,69,74
265,47,73,72
262,54,70,72
255,58,72,74
253,58,73,75
242,73,82,83
236,75,89,86
231,69,103,97
228,54,110,110
220,21,119,116
217,-4,134,120
207,-10,141,107
207,-3,144,79
210,-6,144,74
209,-1,154,83
218,0,153,106
227,68,152,124
240,78,141,146
268,108,129,128
282,142,119,122
300,149,107,118
303,166,107,119
320,188,96,118
321,189,104,105
325,193,101,93
322,188,99,101
323,194,103,100
324,192,99,97
324,190,98,109
324,186,96,108
327,194,93,99
324,190,100,96
323,195,102,88
325,190,96,94
324,187,94,103
326,194,93,86
322,194,101,85
321,188,101,100
323,191,101,97
323,191,101,93
325,192,101,98
324,192,100,108
319,190,102,104
314,191,95,99
301,193,101,89
297,192,104,90
268,177,100,93
258,177,109,90
205,165,113,98
172,176,108,103
127,200,118,110
94,207,131,110
95,202,131,114
85,190,132,113
87,200,138,110
100,205,133,111
105,206,124,101
111,206,119,105
106,205,123,108
100,207,129,102
106,207,130,106
105,203,120,107
106,209,124,101
110,207,118,104
104,205,125,104
112,209,118,102
108,204,127,105
122,197,120,100
152,184,110,104
158,182,106,104
190,169,101,100
191,168,113,98
211,171,117,101
234,176,118,102
242,184,112,92
292,195,99,117
297,191,96,123
293,187,101,125
299,188,94,115
297,193,88,116
300,193,82,118
275,182,100,105
267,181,108,91
253,157,110,92
232,152,109,87
220,150,107,85
184,147,109,95
156,143,111,99
115,139,117,108
77,143,121,107
9,163,127,115
5,183,129,105
5,183,129,105
5,183,129,105
5,183,129,105
5,183,129,105
5,183,129,105
5,183,129,105
8,6,109,111
19,-1,94,103
27,2,84,90
38,3,75,97
49,1,68,108
61,-2,68,95
69,0,67,83
69,0,67,83
56,177,53,71
51,190,63,83
104,170,75,95
151,164,84,106
194,161,110,108
240,160,130,113
265,159,145,115
312,155,133,120
310,156,135,118
308,158,136,116
286,166,133,114
236,173,151,110
217,173,160,118
141,163,150,109
81,142,146,125
64,131,147,125
-1,81,119,138
-5,31,117,152
7,5,111,160
7,5,111,160
7,5,111,160
7,5,111,160
7,5,111,160
10,9,104,175
0,24,119,186
2,44,122,189
76,101,135,179
136,148,163,189
217,181,182,178
290,195,179,161
302,186,201,154
324,169,188,153
337,162,168,145
330,159,169,138
319,152,165,132
315,150,158,134
280,153,159,124
266,154,155,122
212,146,156,127
178,143,186,133
142,142,159,125
123,147,161,124
75,141,155,122
72,137,145,129
6,105,146,152
-25,97,122,178
-25,97,122,178
-25,97,122,178
-25,97,122,178
7,21,106,168
0,14,118,169
4,15,111,176
4,15,111,176
2,12,112,177
2,11,111,182
4,11,111,177
5,9,112,184
14,116,89,167
4,109,101,175
61,126,123,159
124,145,133,152
190,156,152,140
232,163,141,117
235,154,139,117
263,149,126,117
288,146,124,114
313,133,123,112
319,127,131,111
315,123,122,109
290,126,114,112
281,129,114,106
257,131,121,108
210,129,121,106
163,129,120,103
105,129,128,116
75,134,114,108
66,135,122,105
51,134,106,106
46,133,111,107
34,134,106,95
27,136,119,95
33,139,116,94
51,143,106,91
59,145,106,95
76,150,100,95
102,164,99,87
142,167,95,101
154,173,94,97
160,177,100,81
194,182,93,84
205,183,97,81
253,175,115,83
287,166,98,89
306,158,102,95
321,146,106,97
324,136,114,101
317,126,111,114
272,120,136,121
232,113,146,132
166,107,158,149
154,108,151,147
77,116,156,154
30,127,160,141
26,141,140,129
35,152,127,125
48,165,130,113
88,171,122,106
84,174,134,102
156,180,106,99
172,184,102,94
205,187,107,86
226,187,106,81
273,183,98,77
281,179,97,84
306,167,100,84
314,156,105,92
312,153,110,93
310,148,118,101
306,142,114,102
281,136,127,117
253,136,145,115
181,124,159,130
122,112,165,146
72,104,161,154
19,95,161,161
1,105,143,158
14,122,113,138
13,136,125,132
10,140,134,135
37,153,134,126
39,161,140,119
105,174,122,111
153,179,111,87
194,181,105,90
219,178,101,94
237,171,111,87
271,160,108,97
288,150,107,96
288,150,111,93
293,142,112,102
287,139,114,103
267,137,125,107
225,138,140,119
180,136,137,122
134,137,143,120
78,119,141,141
64,106,137,137
15,82,155,154
13,52,146,172
9,37,145,150
11,49,144,143
31,67,143,150
57,96,134,150
81,107,137,145
103,117,142,144
115,111,147,140
121,112,139,128
162,70,159,147
175,8,176,146
175,8,176,146
175,8,176,146
175,8,176,146
175,8,176,146
175,8,176,146
-21,11,148,176
-21,11,148,176
-3,11,124,187
15,8,101,194
8,10,104,185
6,11,107,187
4,9,109,188
7,11,106,181
2,14,110,179
7,8,105,186
10,13,103,176
7,10,110,188
4,11,112,183
6,13,109,181
5,8,112,185
9,12,108,178
8,10,107,185
8,10,107,185
8,10,107,185
4,13,115,185
5,8,113,184
1,13,115,181
5,14,109,178
4,11,113,182
7,11,107,183
9,8,105,185
6,11,110,181
3,11,115,177
0,10,118,182
11,10,104,183
9,15,105,168
8,10,108,182
8,7,107,184
10,11,104,185
4,11,111,178
6,13,113,178
8,14,108,176
11,15,105,179
14,9,99,185
10,10,105,184
6,11,112,187
6,14,112,180
12,18,100,175
12,12,103,182
8,8,104,184
5,13,111,181
10,14,101,177
13,15,104,178
18,11,95,188
15,8,98,183
14,4,116,184
17,12,93,179
186,132,103,159
232,141,125,151
245,137,130,123
304,126,121,110
324,112,121,115
328,104,129,115
332,105,120,112
328,105,121,113
317,110,124,113
297,121,123,112
261,130,124,117
210,140,132,123
178,140,140,122
109,139,133,129
43,130,141,137
3,34,142,164
11,2,111,199
28,0,88,203
23,0,91,194
22,4,92,187
13,4,102,194
13,3,100,188
17,9,97,189
20,6,95,192
19,15,95,180
19,134,93,145
44,149,119,117
73,161,132,98
109,171,124,95
144,173,109,85
153,172,106,88
192,170,92,85
198,170,91,85
204,175,93,86
214,181,91,83
224,203,85,75
232,203,84,78
234,198,81,72
234,199,81,80
231,206,82,71
233,201,83,76
231,202,85,77
230,204,87,73
229,201,85,71
232,200,80,73
234,200,79,69
232,197,83,80
233,187,81,86
232,174,84,85
232,173,83,83
230,170,83,85
229,168,87,91
226,175,88,88
224,179,94,86
223,206,93,85
213,207,100,80
212,203,96,79
211,201,97,81
208,195,98,92
213,196,92,90
211,197,93,84
206,188,99,93
208,181,99,90
205,176,102,95
210,167,100,91
209,162,103,94
217,153,104,94
218,146,104,101
221,148,106,106
214,154,119,109
215,166,124,114
219,179,121,126
216,188,123,130
207,223,128,129
188,214,147,140
188,215,146,128
196,212,136,126
199,213,137,140
195,207,141,141
197,203,139,144
201,208,132,139
200,204,135,142
206,203,131,124
212,197,122,117
219,193,114,115
216,192,117,103
214,176,112,99
217,159,106,100
218,153,98,92
223,151,93,90
227,150,86,82
228,147,81,86
228,158,76,80
234,162,71,84
232,168,74,77
234,185,73,72
231,198,73,69
225,200,78,68
225,199,78,65
223,200,77,64
225,203,71,63
224,200,73,58
224,200,74,67
226,197,74,69
229,183,72,57
227,186,74,63
225,178,79,74
230,137,88,83
232,130,99,91
234,133,95,88
241,126,105,99
241,130,114,109
238,124,121,118
241,115,129,123
236,100,143,139
225,81,153,158
209,75,161,166
193,69,165,180
183,74,169,172
160,89,171,172
152,97,162,164
130,109,162,153
122,112,139,148
117,120,139,134
117,116,137,132
117,115,131,127
109,112,122,130
109,105,118,130
104,99,112,130
110,100,110,117
114,90,100,102
111,89,98,99
123,92,92,88
132,96,87,77
134,92,92,78
153,90,89,81
170,92,85,84
187,99,87,86
200,102,87,92
205,98,97,98
225,102,92,98
235,101,104,121
246,103,118,126
248,101,131,132
226,89,147,145
194,80,166,151
177,71,180,157
135,53,184,168
12,21,191,183
-8,16,173,182
-7,21,137,171
-4,27,124,163
1,45,123,153
2,49,136,151
10,71,149,134
19,75,147,132
93,100,126,143
